CustomerKey,GeographyKey,CustomerLabel,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CustomerType,CompanyName
11,478,11010,NULL,Jacquelyn,C,Suarez,0,1964-02-06,S,NULL,F,jacquelyn20@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,7800 Corrinne Court,NULL,1 (11) 500 555-0169,2001-07-17,Person,NULL
12,478,11011,NULL,Curtis,NULL,Lu,0,1963-11-04,M,NULL,M,curtis9@adventure-works.com,60000.00,4,4,Bachelors,Professional,1,4,1224 Shoenic,NULL,1 (11) 500 555-0117,2001-07-02,Person,NULL
13,442,11012,NULL,Lauren,M,Walker,0,1968-01-18,M,NULL,F,lauren41@adventure-works.com,100000.00,2,0,Bachelors,Management,1,2,4785 Scott Street,NULL,717-555-0164,2003-09-17,Person,NULL
14,500,11013,NULL,Ian,M,Jenkins,0,1968-08-06,M,NULL,M,ian47@adventure-works.com,100000.00,2,0,Bachelors,Management,1,3,7902 Hudson Ave.,NULL,817-555-0185,2003-10-15,Person,NULL
15,677,11014,NULL,Sydney,NULL,Bennett,0,1968-05-09,S,NULL,F,sydney23@adventure-works.com,100000.00,3,0,Bachelors,Management,0,3,9011 Tank Drive,NULL,431-555-0156,2003-09-24,Person,NULL
16,443,11015,NULL,Chloe,NULL,Young,0,1979-02-27,S,NULL,F,chloe23@adventure-works.com,30000.00,0,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,NULL,208-555-0142,2003-07-22,Person,NULL
17,494,11016,NULL,Wyatt,L,Hill,0,1979-04-28,M,NULL,M,wyatt32@adventure-works.com,30000.00,0,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,NULL,135-555-0171,2003-08-13,Person,NULL
18,699,11017,NULL,Shannon,NULL,Wang,0,1944-06-26,S,NULL,F,shannon1@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,7330 Saddlehill Lane,NULL,1 (11) 500 555-0195,2001-07-15,Person,NULL
19,425,11018,NULL,Clarence,D,Rai,0,1944-10-09,S,NULL,M,clarence32@adventure-works.com,30000.00,2,0,Partial College,Clerical,1,2,244 Rivewview,NULL,1 (11) 500 555-0137,2001-07-20,Person,NULL
20,499,11019,NULL,Luke,L,Lal,0,1978-03-07,S,NULL,M,luke18@adventure-works.com,40000.00,0,0,High School,Skilled Manual,0,2,7832 Landing Dr,NULL,262-555-0112,2003-08-16,Person,NULL
21,511,11020,NULL,Jordan,C,King,0,1978-09-20,S,NULL,M,jordan73@adventure-works.com,40000.00,0,0,High School,Skilled Manual,0,2,7156 Rose Dr.,NULL,550-555-0163,2003-07-02,Person,NULL
22,580,11021,NULL,Destiny,NULL,Wilson,0,1978-09-03,S,NULL,F,destiny7@adventure-works.com,40000.00,0,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,NULL,622-555-0158,2003-07-27,Person,NULL
23,583,11022,NULL,Ethan,G,Zhang,0,1978-10-12,M,NULL,M,ethan20@adventure-works.com,40000.00,0,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,NULL,589-555-0185,2003-07-24,Person,NULL
24,582,11023,NULL,Seth,M,Edwards,0,1978-10-11,M,NULL,M,seth46@adventure-works.com,40000.00,0,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,NULL,452-555-0188,2003-08-21,Person,NULL
25,470,11024,NULL,Russell,NULL,Xie,0,1978-09-17,M,NULL,M,russell7@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,NULL,746-555-0186,2003-12-29,Person,NULL
26,637,11025,NULL,Alejandro,NULL,Beck,0,1945-12-23,M,NULL,M,alejandro45@adventure-works.com,10000.00,2,1,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,NULL,1 (11) 500 555-0178,2001-07-09,Person,NULL
27,634,11026,NULL,Harold,NULL,Sai,0,1946-04-03,S,NULL,M,harold3@adventure-works.com,30000.00,2,0,Partial College,Clerical,0,2,8211 Leeds Ct.,NULL,1 (11) 500 555-0131,2001-07-26,Person,NULL
28,568,11027,NULL,Jessie,R,Zhao,0,1946-12-07,M,NULL,M,jessie16@adventure-works.com,30000.00,2,0,Partial College,Clerical,1,2,213 Valencia Place,NULL,1 (11) 500 555-0184,2001-07-19,Person,NULL
29,554,11028,NULL,Jill,NULL,Jimenez,0,1946-04-11,M,NULL,F,jill13@adventure-works.com,30000.00,2,0,Partial College,Clerical,1,2,9111 Rose Ann Ave,NULL,1 (11) 500 555-0116,2001-07-29,Person,NULL
30,425,11029,NULL,Jimmy,L,Moreno,0,1946-12-21,M,NULL,M,jimmy9@adventure-works.com,30000.00,2,0,Partial College,Clerical,1,2,6385 Mark Twain,NULL,1 (11) 500 555-0146,2001-07-22,Person,NULL
31,613,11030,NULL,Bethany,G,Yuan,0,1947-02-22,M,NULL,F,bethany10@adventure-works.com,10000.00,2,1,Partial High School,Clerical,1,2,636 Vine Hill Way,NULL,1 (11) 500 555-0182,2001-08-08,Person,NULL
32,509,11031,NULL,Theresa,G,Ramos,0,1947-08-22,M,NULL,F,theresa13@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,6465 Detroit Ave.,NULL,1 (11) 500 555-0195,2001-08-04,Person,NULL
33,656,11032,NULL,Denise,NULL,Stone,0,1947-06-11,M,NULL,F,denise10@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,626 Bentley Street,NULL,1 (11) 500 555-0169,2001-08-21,Person,NULL
34,512,11033,NULL,Jaime,NULL,Nath,0,1947-09-23,M,NULL,M,jaime41@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,5927 Rainbow Dr,NULL,1 (11) 500 555-0137,2001-08-18,Person,NULL
35,669,11034,NULL,Ebony,NULL,Gonzalez,0,1947-06-19,M,NULL,F,ebony19@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,5167 Condor Place,NULL,1 (11) 500 555-0136,2001-08-04,Person,NULL
36,471,11035,NULL,Wendy,NULL,Dominguez,0,1948-02-24,M,NULL,F,wendy12@adventure-works.com,10000.00,2,1,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,NULL,1 (11) 500 555-0177,2001-08-09,Person,NULL
37,516,11036,NULL,Jennifer,C,Russell,0,1978-12-18,M,NULL,F,jennifer93@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,NULL,115-555-0183,2003-07-26,Person,NULL
38,467,11037,NULL,Chloe,M,Garcia,0,1977-11-27,S,NULL,F,chloe27@adventure-works.com,40000.00,0,0,Partial High School,Clerical,0,2,8915 Woodside Way,NULL,229-555-0112,2003-07-24,Person,NULL
39,648,11038,NULL,Diana,F,Hernandez,0,1948-03-23,M,NULL,F,diana2@adventure-works.com,10000.00,2,1,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,NULL,1 (11) 500 555-0114,2001-08-10,Person,NULL
40,706,11039,NULL,Marc,J,Martin,0,1948-12-17,M,NULL,M,marc3@adventure-works.com,30000.00,3,0,Partial College,Clerical,1,2,9353 Creekside Dr.,NULL,1 (11) 500 555-0183,2001-08-10,Person,NULL
41,559,11040,NULL,Jesse,NULL,Murphy,0,1977-08-01,M,NULL,M,jesse15@adventure-works.com,30000.00,0,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,NULL,961-555-0176,2003-10-05,Person,NULL
42,633,11041,NULL,Amanda,M,Carter,0,1977-10-16,M,NULL,F,amanda53@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,1,2,5826 Escobar,NULL,295-555-0145,2003-07-18,Person,NULL
43,653,11042,NULL,Megan,J,Sanchez,0,1977-06-13,M,NULL,F,megan28@adventure-works.com,70000.00,0,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,NULL,404-555-0199,2003-07-25,Person,NULL
44,633,11043,NULL,Nathan,M,Simmons,0,1976-02-24,M,NULL,M,nathan11@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,NULL,296-555-0181,2003-11-09,Person,NULL
45,492,11044,NULL,Adam,L,Flores,0,1949-05-24,M,NULL,M,adam10@adventure-works.com,20000.00,2,1,Partial High School,Clerical,1,2,6935 Candle Dr,NULL,1 (11) 500 555-0163,2001-08-31,Person,NULL
46,509,11045,NULL,Leonard,G,Nara,0,1950-05-19,S,NULL,M,leonard18@adventure-works.com,30000.00,3,0,High School,Skilled Manual,0,2,7466 La Vista Ave.,NULL,1 (11) 500 555-0151,2003-10-12,Person,NULL
47,648,11046,NULL,Christine,NULL,Yuan,0,1950-03-22,M,NULL,F,christine4@adventure-works.com,30000.00,3,0,High School,Skilled Manual,1,2,2356 Orange St,NULL,1 (11) 500 555-0113,2001-08-09,Person,NULL
48,632,11047,NULL,Jaclyn,D,Lu,0,1950-02-27,M,NULL,F,jaclyn12@adventure-works.com,30000.00,3,0,High School,Skilled Manual,0,2,2812 Mazatlan,NULL,1 (11) 500 555-0137,2001-08-06,Person,NULL
49,699,11048,NULL,Jeremy,NULL,Powell,0,1950-11-22,M,NULL,M,jeremy26@adventure-works.com,30000.00,3,0,High School,Skilled Manual,1,2,1803 Potomac Dr.,NULL,1 (11) 500 555-0183,2001-08-13,Person,NULL
50,610,11049,NULL,Carol,C,Rai,0,1980-07-18,S,NULL,F,carol8@adventure-works.com,40000.00,0,0,Partial High School,Clerical,1,2,6064 Madrid,NULL,654-555-0180,2003-09-10,Person,NULL
51,493,11050,NULL,Alan,NULL,Zheng,0,1951-09-07,M,NULL,M,alan23@adventure-works.com,30000.00,3,0,High School,Skilled Manual,1,2,2741 Gainborough Dr.,NULL,1 (11) 500 555-0135,2001-08-23,Person,NULL
52,599,11051,NULL,Daniel,NULL,Johnson,0,1951-08-04,S,NULL,M,daniel18@adventure-works.com,30000.00,3,0,High School,Skilled Manual,0,2,8085 Sunnyvale Avenue,NULL,1 (11) 500 555-0155,2004-07-01,Person,NULL
53,509,11052,NULL,Heidi,NULL,Lopez,0,1951-08-07,S,NULL,F,heidi19@adventure-works.com,40000.00,2,0,Partial College,Clerical,0,2,2514 Via Cordona,NULL,1 (11) 500 555-0168,2001-08-20,Person,NULL
54,688,11053,NULL,Ana,E,Price,0,1980-08-20,M,NULL,F,ana0@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,0,2,1660 Stonyhill Circle,NULL,859-555-0113,2003-07-21,Person,NULL
55,632,11054,NULL,Deanna,NULL,Munoz,0,1952-03-10,M,NULL,F,deanna33@adventure-works.com,40000.00,2,0,Partial College,Skilled Manual,1,2,5825 B Way,NULL,1 (11) 500 555-0192,2001-08-06,Person,NULL
56,478,11055,NULL,Gilbert,NULL,Raje,0,1952-03-05,M,NULL,M,gilbert35@adventure-works.com,40000.00,2,0,Partial College,Skilled Manual,1,2,8811 The Trees Dr.,NULL,1 (11) 500 555-0129,2001-08-03,Person,NULL
57,518,11056,NULL,Michele,L,Nath,0,1953-04-03,M,NULL,F,michele19@adventure-works.com,40000.00,3,0,Partial College,Skilled Manual,1,2,5464 Janin Pl.,NULL,1 (11) 500 555-0178,2001-08-29,Person,NULL
58,646,11057,NULL,Carl,J,Andersen,0,1953-10-12,M,NULL,M,carl12@adventure-works.com,70000.00,2,0,Graduate Degree,Management,1,2,6930 Lake Nadine Place,NULL,1 (11) 500 555-0181,2001-08-25,Person,NULL
59,628,11058,NULL,Marc,NULL,Diaz,0,1954-04-27,M,NULL,M,marc6@adventure-works.com,80000.00,2,0,Partial College,Skilled Manual,1,2,6645 Sinaloa,NULL,1 (11) 500 555-0149,2001-09-09,Person,NULL
60,561,11059,NULL,Ashlee,J,Andersen,0,1954-04-01,S,NULL,F,ashlee19@adventure-works.com,80000.00,2,0,Partial College,Skilled Manual,1,2,8255 Highland Road,NULL,1 (11) 500 555-0112,2003-08-22,Person,NULL
61,568,11060,NULL,Jon,L,Zhou,0,1954-03-17,M,NULL,M,jon28@adventure-works.com,80000.00,2,0,Partial College,Skilled Manual,1,2,6574 Hemlock Ave.,NULL,1 (11) 500 555-0174,2001-09-19,Person,NULL
62,487,11061,NULL,Todd,M,Gao,0,1954-02-27,M,NULL,M,todd14@adventure-works.com,80000.00,2,0,Partial College,Skilled Manual,1,2,8808 Geneva Ave,NULL,1 (11) 500 555-0191,2001-09-13,Person,NULL
63,536,11062,NULL,Noah,D,Powell,0,1975-09-02,M,NULL,M,noah5@adventure-works.com,40000.00,0,0,High School,Skilled Manual,1,2,9794 Marion Ct,NULL,767-555-0113,2003-07-11,Person,NULL
64,677,11063,NULL,Angela,NULL,Murphy,0,1975-04-07,S,NULL,F,angela41@adventure-works.com,40000.00,0,0,High School,Skilled Manual,1,2,4927 Virgil Street,# 21,451-555-0162,2003-07-16,Person,NULL
65,475,11064,NULL,Chase,NULL,Reed,0,1975-12-07,M,NULL,M,chase21@adventure-works.com,40000.00,0,0,High School,Skilled Manual,1,2,2721 Alexander Pl.,NULL,892-555-0184,2003-07-29,Person,NULL
66,643,11065,NULL,Jessica,NULL,Henderson,0,1973-10-09,M,NULL,F,jessica29@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,0,2,9343 Ironwood Way,NULL,278-555-0186,2003-08-14,Person,NULL
67,500,11066,NULL,Grace,T,Butler,0,1973-11-27,M,NULL,F,grace62@adventure-works.com,70000.00,0,0,Partial College,Professional,1,2,4739 Garden Ave.,NULL,712-555-0141,2003-12-02,Person,NULL
68,535,11067,NULL,Caleb,F,Carter,0,1976-09-25,S,NULL,M,caleb40@adventure-works.com,60000.00,0,0,Partial College,Professional,1,2,9563 Pennsylvania Blvd.,NULL,944-555-0167,2004-02-19,Person,NULL
69,568,11068,NULL,Tiffany,NULL,Liang,0,1955-09-23,S,NULL,F,tiffany17@adventure-works.com,80000.00,2,0,High School,Skilled Manual,1,2,3608 Sinclair Avenue,# 701,1 (11) 500 555-0177,2003-11-01,Person,NULL
70,487,11069,NULL,Carolyn,NULL,Navarro,0,1955-09-21,S,NULL,F,carolyn30@adventure-works.com,80000.00,2,0,High School,Skilled Manual,0,2,4606 Springwood Court,NULL,1 (11) 500 555-0145,2001-10-18,Person,NULL
71,699,11070,NULL,Willie,T,Raji,0,1955-04-05,M,NULL,M,willie40@adventure-works.com,80000.00,2,0,High School,Skilled Manual,1,2,6260 Vernal Drive,NULL,1 (11) 500 555-0151,2001-10-29,Person,NULL
72,637,11071,NULL,Linda,NULL,Serrano,0,1955-06-26,S,NULL,F,linda31@adventure-works.com,80000.00,2,0,High School,Skilled Manual,1,2,9808 Shaw Rd.,NULL,1 (11) 500 555-0130,2003-09-02,Person,NULL
73,554,11072,NULL,Casey,NULL,Luo,0,1955-02-06,S,NULL,F,casey6@adventure-works.com,80000.00,2,0,High School,Skilled Manual,0,2,9513 Roslyn Drive,NULL,1 (11) 500 555-0125,2001-10-01,Person,NULL
74,553,11073,NULL,Amy,NULL,Ye,0,1956-08-14,S,NULL,F,amy16@adventure-works.com,70000.00,2,0,High School,Skilled Manual,1,2,2262 Kirkwood Ct.,NULL,1 (11) 500 555-0185,2003-09-24,Person,NULL
75,613,11074,NULL,Levi,A,Arun,0,1956-08-28,S,NULL,M,levi6@adventure-works.com,70000.00,2,0,High School,Skilled Manual,1,2,4661 Bluetail,NULL,1 (11) 500 555-0127,2003-09-24,Person,NULL
76,425,11075,NULL,Felicia,L,Jimenez,0,1957-11-16,S,NULL,F,felicia4@adventure-works.com,80000.00,2,0,High School,Professional,1,2,786 Eastgate Ave,NULL,1 (11) 500 555-0165,2001-10-29,Person,NULL
77,706,11076,NULL,Blake,NULL,Anderson,0,1957-07-13,S,NULL,M,blake9@adventure-works.com,80000.00,2,0,High School,Professional,1,2,5436 Clear,# 101,1 (11) 500 555-0113,2001-10-22,Person,NULL
78,510,11077,NULL,Leah,NULL,Ye,0,1957-09-19,S,NULL,F,leah7@adventure-works.com,80000.00,2,0,High School,Professional,0,2,1291 Arguello Blvd.,NULL,1 (11) 500 555-0154,2001-10-16,Person,NULL
79,467,11078,NULL,Gina,E,Martin,0,1974-01-10,S,NULL,F,gina1@adventure-works.com,40000.00,0,0,High School,Professional,0,2,1349 Sol St.,NULL,196-555-0114,2003-08-19,Person,NULL
80,632,11079,NULL,Donald,NULL,Gonzalez,0,1959-03-11,S,NULL,M,donald20@adventure-works.com,160000.00,0,0,Graduate Degree,Management,1,2,4236 Malibu Place,NULL,1 (11) 500 555-0137,2003-09-16,Person,NULL
81,531,11080,NULL,Damien,NULL,Chander,0,1959-07-17,M,NULL,M,damien32@adventure-works.com,170000.00,0,0,Graduate Degree,Management,1,2,9941 Stonehedge Dr.,NULL,1 (11) 500 555-0111,2001-10-11,Person,NULL
82,470,11081,NULL,Savannah,C,Baker,0,1966-07-24,M,NULL,F,savannah39@adventure-works.com,120000.00,2,2,Bachelors,Management,1,3,1210 Trafalgar Circle,NULL,478-555-0117,2003-08-16,Person,NULL
83,631,11082,NULL,Angela,L,Butler,0,1966-08-04,S,NULL,F,angela17@adventure-works.com,130000.00,0,1,Graduate Degree,Management,0,3,6040 Listing Ct,NULL,579-555-0195,2003-07-26,Person,NULL
84,505,11083,NULL,Alyssa,F,Cox,0,1966-03-15,M,NULL,F,alyssa37@adventure-works.com,130000.00,0,1,Graduate Degree,Management,1,3,867 La Orinda Place,NULL,561-555-0140,2003-07-10,Person,NULL
85,500,11084,NULL,Lucas,NULL,Phillips,0,1957-09-12,S,NULL,M,lucas7@adventure-works.com,80000.00,2,0,Partial High School,Skilled Manual,0,2,8668 St. Celestine Court,NULL,863-555-0172,2003-07-08,Person,NULL
86,667,11085,NULL,Emily,NULL,Johnson,0,1957-07-19,S,NULL,F,emily1@adventure-works.com,60000.00,2,0,High School,Professional,0,2,7926 Stephanie Way,NULL,850-555-0184,2004-06-08,Person,NULL
87,547,11086,NULL,Ryan,NULL,Brown,0,1957-12-23,M,NULL,M,ryan43@adventure-works.com,70000.00,2,1,Partial College,Professional,1,0,2939 Wesley Ct.,NULL,539-555-0198,2004-01-03,Person,NULL
88,610,11087,NULL,Tamara,L,Liang,0,1957-10-03,M,NULL,F,tamara6@adventure-works.com,70000.00,3,2,Partial College,Professional,0,0,3791 Rossmor Parkway,NULL,178-555-0152,2003-08-29,Person,NULL
89,688,11088,NULL,Hunter,NULL,Davis,0,1957-11-25,M,NULL,M,hunter64@adventure-works.com,80000.00,2,1,Bachelors,Management,1,0,4308 Sand Pointe Lane,NULL,612-555-0141,2003-07-17,Person,NULL
90,652,11089,NULL,Abigail,M,Price,0,1957-02-05,S,NULL,F,abigail25@adventure-works.com,80000.00,2,1,Bachelors,Management,1,1,2685 Blackburn Ct,NULL,532-555-0117,2003-07-02,Person,NULL
91,653,11090,NULL,Trevor,NULL,Bryant,0,1957-12-17,S,NULL,M,trevor18@adventure-works.com,90000.00,2,0,Partial College,Professional,1,1,5781 Sharon Dr.,NULL,853-555-0174,2002-02-07,Person,NULL
92,490,11091,NULL,Dalton,NULL,Perez,0,1957-04-04,M,NULL,M,dalton37@adventure-works.com,90000.00,2,0,Partial College,Professional,1,1,6083 San Jose,NULL,559-555-0115,2003-08-02,Person,NULL
93,478,11092,NULL,Cheryl,A,Diaz,0,1967-05-06,M,NULL,F,cheryl4@adventure-works.com,90000.00,2,2,Bachelors,Professional,1,0,7297 Kaywood Drive,NULL,1 (11) 500 555-0192,2001-10-09,Person,NULL
94,706,11093,NULL,Aimee,A,He,0,1967-09-10,M,NULL,F,aimee13@adventure-works.com,100000.00,0,0,Graduate Degree,Management,1,0,1833 Olympic Drive,NULL,1 (11) 500 555-0161,2001-10-08,Person,NULL
95,471,11094,NULL,Cedric,W,Ma,0,1962-04-01,S,NULL,M,cedric15@adventure-works.com,70000.00,1,0,Partial College,Skilled Manual,0,1,3407 Oak Brook Place,NULL,1 (11) 500 555-0115,2003-10-09,Person,NULL
96,534,11095,NULL,Chad,NULL,Kumar,0,1962-09-01,S,NULL,M,chad9@adventure-works.com,70000.00,1,0,Partial College,Skilled Manual,1,1,1681 Lighthouse Way,NULL,1 (11) 500 555-0151,2001-10-02,Person,NULL
97,669,11096,NULL,Andrés,NULL,Anand,0,1962-08-10,M,NULL,M,andrés18@adventure-works.com,60000.00,1,0,Bachelors,Professional,1,1,5423 Los Gatos Ct.,NULL,1 (11) 500 555-0184,2001-10-12,Person,NULL
98,568,11097,NULL,Edwin,R,Nara,0,1961-10-27,M,NULL,M,edwin39@adventure-works.com,60000.00,1,0,Partial College,Skilled Manual,1,1,719 William Way,NULL,1 (11) 500 555-0112,2001-10-05,Person,NULL
99,679,11098,NULL,Mallory,S,Rubio,0,1961-05-01,S,NULL,F,mallory7@adventure-works.com,60000.00,1,0,Partial College,Skilled Manual,0,1,6452 Harris Circle,NULL,1 (11) 500 555-0157,2003-08-15,Person,NULL
100,534,11099,NULL,Adam,NULL,Ross,0,1961-03-08,M,NULL,M,adam2@adventure-works.com,60000.00,1,0,Bachelors,Professional,1,1,4378 Westminster Place,NULL,1 (11) 500 555-0186,2001-10-08,Person,NULL
101,613,11100,NULL,Latasha,L,Navarro,0,1960-09-15,S,NULL,F,latasha10@adventure-works.com,60000.00,1,0,Partial College,Skilled Manual,1,1,6954 Ranch Road,NULL,1 (11) 500 555-0123,2001-10-17,Person,NULL
102,471,11101,NULL,Abby,L,Sai,0,1965-05-08,S,NULL,F,abby4@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,7074 N. Spoonwood Court,NULL,1 (11) 500 555-0174,2001-10-30,Person,NULL
103,558,11102,NULL,Julia,L,Nelson,0,1965-04-21,S,NULL,F,julia7@adventure-works.com,80000.00,5,5,Bachelors,Professional,1,4,2196 Coat Ct.,NULL,1 (11) 500 555-0124,2004-01-17,Person,NULL
104,473,11103,NULL,Cassie,NULL,Chande,0,1964-10-17,S,NULL,F,cassie13@adventure-works.com,70000.00,0,0,Bachelors,Professional,1,1,9448 San Marino Ct.,NULL,1 (11) 500 555-0166,2001-10-16,Person,NULL
105,487,11104,NULL,Edgar,A,Sara,0,1964-03-11,M,NULL,M,edgar11@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,6127 Lilly Lane,NULL,1 (11) 500 555-0125,2001-11-04,Person,NULL
106,509,11105,NULL,Candace,NULL,Fernandez,0,1964-12-28,S,NULL,F,candace15@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,5029 Blue Ridge,NULL,1 (11) 500 555-0162,2001-11-14,Person,NULL
107,568,11106,NULL,Jessie,NULL,Liu,0,1964-09-11,S,NULL,M,jessie9@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,3063 Blue Jay Drive,NULL,1 (11) 500 555-0163,2001-11-18,Person,NULL
108,554,11107,NULL,Bianca,NULL,Lin,0,1959-09-09,M,NULL,F,bianca7@adventure-works.com,90000.00,1,0,Bachelors,Professional,1,1,7530 Eola,NULL,1 (11) 500 555-0121,2001-11-01,Person,NULL
109,534,11108,NULL,Kari,C,Alvarez,0,1963-07-14,S,NULL,F,kari25@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,2,9178 Thornhill Place,NULL,1 (11) 500 555-0169,2001-11-03,Person,NULL
110,697,11109,NULL,Ruben,D,Kapoor,0,1963-11-05,S,NULL,M,ruben1@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,2,1984 Glendale Circle,NULL,1 (11) 500 555-0132,2001-11-10,Person,NULL
111,473,11110,NULL,Curtis,NULL,Yang,0,1962-06-06,M,NULL,M,curtis5@adventure-works.com,60000.00,1,0,Partial College,Skilled Manual,1,1,4052 Mt. Wilson Way,NULL,1 (11) 500 555-0127,2001-11-01,Person,NULL
112,632,11111,NULL,Meredith,T,Gutierrez,0,1962-02-23,M,NULL,F,meredith34@adventure-works.com,60000.00,1,0,Partial College,Skilled Manual,1,1,7610 Northridge Ct.,NULL,1 (11) 500 555-0179,2001-11-20,Person,NULL
113,492,11112,NULL,Crystal,C,Wang,0,1962-09-09,M,NULL,F,crystal3@adventure-works.com,60000.00,1,0,Partial College,Skilled Manual,1,1,2773 Kirkwood Dr,NULL,1 (11) 500 555-0134,2001-11-25,Person,NULL
114,531,11113,NULL,Micheal,A,Blanco,0,1962-02-21,M,NULL,M,micheal11@adventure-works.com,70000.00,5,4,Bachelors,Professional,1,2,596 Marfargoa Drive,NULL,1 (11) 500 555-0131,2003-08-05,Person,NULL
115,679,11114,NULL,Leslie,C,Moreno,0,1962-05-28,S,NULL,F,leslie7@adventure-works.com,70000.00,5,4,Partial College,Skilled Manual,1,2,7941 Cristobal,NULL,1 (11) 500 555-0115,2003-09-19,Person,NULL
116,554,11115,NULL,Alvin,D,Cai,0,1962-02-12,M,NULL,M,alvin20@adventure-works.com,70000.00,5,4,Partial College,Skilled Manual,1,2,7759 Azalea Avenue,NULL,1 (11) 500 555-0191,2003-08-14,Person,NULL
